scorer,,,auto_detector,auto_detector,auto_detector,auto_detector
labeled-data,multisine_06,img2041.png,85.000000,342.905245,1822.000000,340.635218
labeled-data,multisine_06,img2066.png,85.000000,342.904178,1822.000000,340.561941
labeled-data,multisine_06,img2090.png,85.000000,342.837021,1822.000000,340.528384
labeled-data,multisine_06,img2115.png,85.000000,342.669565,1822.000000,340.535227
labeled-data,multisine_06,img2139.png,85.000000,342.924857,1822.000000,340.641302
labeled-data,multisine_06,img2164.png,85.000000,342.882300,1822.000000,340.603149
labeled-data,multisine_06,img2189.png,85.000000,342.835091,1822.000000,340.608345
labeled-data,multisine_06,img2213.png,85.000000,342.765296,1822.000000,340.567261
labeled-data,multisine_06,img2238.png,85.000000,343.051613,1822.000000,340.692837
labeled-data,multisine_06,img2262.png,85.000000,342.802409,1822.000000,340.572947
labeled-data,multisine_06,img2287.png,85.000000,342.976088,1822.000000,340.648725
labeled-data,multisine_06,img2312.png,85.000000,343.019236,1822.000000,340.684006
labeled-data,multisine_06,img2336.png,85.000000,343.086494,1822.000000,340.671104
labeled-data,multisine_06,img2361.png,85.000000,343.021826,1822.000000,340.771248
labeled-data,multisine_06,img2385.png,85.000000,342.798156,1822.000000,340.611000
labeled-data,multisine_06,img2410.png,85.000000,342.919309,1822.000000,340.706195
labeled-data,multisine_06,img2435.png,85.000000,343.237205,1822.000000,340.768567
