scorer,,,auto_detector,auto_detector,auto_detector,auto_detector
labeled-data,random_steps_04,img1782.png,85.000000,373.510292,1822.000000,302.468651
labeled-data,random_steps_04,img1804.png,85.000000,290.967829,1822.000000,382.998531
labeled-data,random_steps_04,img1826.png,85.000000,352.333787,1822.000000,325.455148
labeled-data,random_steps_04,img1848.png,85.000000,347.780911,1822.000000,327.901294
labeled-data,random_steps_04,img1870.png,85.000000,335.414130,1822.000000,344.682895
labeled-data,random_steps_04,img1892.png,85.000000,446.723579,1822.000000,230.720872
labeled-data,random_steps_04,img1914.png,85.000000,333.560032,1822.000000,344.160471
labeled-data,random_steps_04,img1936.png,85.000000,405.086580,1822.000000,274.542481
labeled-data,random_steps_04,img1958.png,85.000000,350.755448,1822.000000,327.763052
labeled-data,random_steps_04,img1980.png,85.000000,350.959219,1822.000000,327.800085
labeled-data,random_steps_04,img2002.png,85.000000,351.023144,1822.000000,327.831532
labeled-data,random_steps_04,img2024.png,85.000000,350.962388,1822.000000,327.866245
labeled-data,random_steps_04,img2046.png,85.000000,350.979994,1822.000000,327.795284
labeled-data,random_steps_04,img2068.png,85.000000,351.058377,1822.000000,327.798552
labeled-data,random_steps_04,img2090.png,85.000000,351.014943,1822.000000,327.776173
labeled-data,random_steps_04,img2112.png,85.000000,350.888859,1822.000000,327.713659
labeled-data,random_steps_04,img2134.png,85.000000,350.870712,1822.000000,327.809425
labeled-data,random_steps_04,img2156.png,85.000000,350.980614,1822.000000,327.787777
labeled-data,random_steps_04,img2179.png,85.000000,350.513344,1822.000000,328.340401
